experiment,seed,scale,image_id,target_index,center_error_sq,center_error_l2,size_error_l1,size_error_relative,matched_iou,label_correct
baseline,42,large,2063,6,0.000527919502928853,0.022976499050855637,0.020607009530067444,0.08590364456176758,0.8237855434417725,1
baseline,42,large,2063,0,0.001042341347783804,0.032285310328006744,0.1315016746520996,0.23472189903259277,0.8009656071662903,0
baseline,42,large,2063,4,2.5452784029766917e-05,0.005045075435191393,0.035757407546043396,0.12210509181022644,0.8847334384918213,1
baseline,42,medium,2063,2,0.000874365447089076,0.02956967055797577,0.009388267993927002,0.08095445483922958,0.547141969203949,1
baseline,42,medium,2063,3,0.0008362349472008646,0.02891772799193859,0.015293583273887634,0.1085379347205162,0.6467299461364746,1
baseline,42,large,9776,0,0.002592796925455332,0.050919514149427414,0.04905262589454651,0.14479510486125946,0.6809943318367004,1
baseline,42,large,9776,1,0.0029855016618967056,0.05463974550366402,0.06291064620018005,0.12014040350914001,0.7574198842048645,0
baseline,42,large,9776,2,6.1105556596885435e-06,0.0024719538632780313,0.032977938652038574,0.11904838681221008,0.8843387365341187,1
baseline,42,large,2129,0,0.0008514449582435191,0.0291795302182436,0.0323643684387207,0.13828299939632416,0.7131760120391846,0
baseline,42,large,2129,3,0.00018203651416115463,0.013492090627551079,0.02916818857192993,0.08490244299173355,0.8961613178253174,0
baseline,42,large,2129,1,1.6150546798598953e-05,0.004018774256110191,0.1132165938615799,0.44745898246765137,0.6713130474090576,0
baseline,42,large,2129,2,0.0015565726207569242,0.039453424513339996,0.03781081736087799,0.12742753326892853,0.757348895072937,0
baseline,42,large,6348,1,6.6358293224766385e-06,0.002576010301709175,0.04364144802093506,0.06412137299776077,0.9395384788513184,1
baseline,42,medium,6348,0,0.0009855335811153054,0.03139320760965347,0.07115030288696289,0.5031476616859436,0.5823742151260376,0
baseline,42,small,2940,1,0.00024175786529667675,0.015548564493656158,0.02732447162270546,0.6003419756889343,0.5096842646598816,0
