experiment,seed,image_id,large_gt_count,matched_tp_score_mean,matched_tp_score_min,matched_iou_mean,matched_class_accuracy,fp_query_count,fp_score_mean,fp_score_q95,fp_score_q99,fp_score_top10_mean,fp_score_max,tp_minus_top_fp,tp_above_top_fp,duplicate_like_fp50_count,duplicate_like_fp50_rate,high_confidence_fp50_count,checkpoint_epoch,fingerprint
baseline,42,9776,3,0.08645784854888916,0.03711074963212013,0.7742509841918945,0.6666666865348816,297,0.05051795393228531,0.13169726729393005,0.20308640599250793,0.19390788674354553,0.2430770993232727,-0.15661925077438354,0,14,0.047138046473264694,0,7,c16286f63961237b
baseline,42,2129,4,0.08740494400262833,0.07990763336420059,0.7594997882843018,0.0,296,0.040779054164886475,0.1021895706653595,0.12083664536476135,0.11727366596460342,0.12453210353851318,-0.03712715953588486,0,0,0.0,0,7,c16286f63961237b
baseline,42,6348,1,0.07884916663169861,0.07884916663169861,0.9395384788513184,1.0,298,0.04338446259498596,0.08261743187904358,0.10576748847961426,0.10310468822717667,0.1352350264787674,-0.05638585984706879,0,10,0.033557046204805374,0,7,c16286f63961237b
baseline,42,2940,2,0.1101360097527504,0.03899555280804634,0.894417405128479,0.5,293,0.043859925121068954,0.08486714959144592,0.1508476585149765,0.15091471374034882,0.2406192570924759,-0.1304832398891449,0,28,0.0955631360411644,0,7,c16286f63961237b
baseline,42,4100,1,0.028698382899165154,0.028698382899165154,0.6324803233146667,0.0,299,0.030038384720683098,0.05008714273571968,0.0834718868136406,0.07595349848270416,0.08771738409996033,-0.059018999338150024,0,0,0.0,0,7,c16286f63961237b
baseline,42,2953,4,0.062427639961242676,0.05526713281869888,0.7969461679458618,0.0,295,0.05775528773665428,0.14432524144649506,0.20236662030220032,0.19604775309562683,0.22048136591911316,-0.15805372595787048,0,0,0.0,0,7,c16286f63961237b
baseline,42,8933,1,0.05516558513045311,0.05516558513045311,0.5691993832588196,0.0,297,0.04181474447250366,0.08382583409547806,0.1017356738448143,0.1035497784614563,0.1358877569437027,-0.08072216808795929,0,0,0.0,0,7,c16286f63961237b
baseline,42,763,1,0.06628147512674332,0.06628147512674332,0.8880228996276855,0.0,299,0.04099423438310623,0.09837152063846588,0.13033677637577057,0.12575730681419373,0.14702685177326202,-0.08074537664651871,0,0,0.0,0,7,c16286f63961237b
baseline,42,9942,3,0.16739153861999512,0.15572568774223328,0.8880245089530945,1.0,297,0.07319184392690659,0.15964502096176147,0.18594306707382202,0.1805664747953415,0.19402700662612915,-0.026635468006134033,0,94,0.3164983093738556,0,7,c16286f63961237b
baseline,42,2567,1,0.04514843970537186,0.04514843970537186,0.9624783396720886,0.0,299,0.03201702982187271,0.0715547427535057,0.11376284807920456,0.10330931097269058,0.12672699987888336,-0.0815785601735115,0,0,0.0,0,7,c16286f63961237b
baseline,42,9869,1,0.10333109647035599,0.10333109647035599,0.9441798329353333,1.0,299,0.04365325719118118,0.10400481522083282,0.1451556533575058,0.141448974609375,0.16483499109745026,-0.06150389462709427,0,46,0.1538461595773697,0,7,c16286f63961237b
baseline,42,5579,2,0.07713013887405396,0.07070152461528778,0.6308313608169556,0.0,298,0.04273892566561699,0.09475152939558029,0.11840280145406723,0.11660490185022354,0.1342126578092575,-0.05708251893520355,0,0,0.0,0,7,c16286f63961237b
baseline,42,4464,2,0.13926108181476593,0.0794505774974823,0.9210292100906372,0.5,297,0.04114289954304695,0.10839062929153442,0.16367796063423157,0.16168905794620514,0.222193643450737,-0.08293256163597107,0,17,0.05723905563354492,0,7,c16286f63961237b
baseline,42,4020,2,0.14858867228031158,0.056061603128910065,0.747145414352417,0.5,297,0.052336204797029495,0.12247984111309052,0.16496020555496216,0.16077418625354767,0.2073289304971695,-0.05874025821685791,0,4,0.013468013145029545,0,7,c16286f63961237b
baseline,42,3116,1,0.051797572523355484,0.051797572523355484,0.7874017953872681,1.0,299,0.0340917594730854,0.06946004927158356,0.08730261772871017,0.08497139811515808,0.10205840319395065,-0.05026083067059517,0,3,0.010033444501459599,0,7,c16286f63961237b
baseline,42,865,4,0.167281374335289,0.052266888320446014,0.8595352172851562,0.75,291,0.08479540050029755,0.18826910853385925,0.2727392017841339,0.25764209032058716,0.3015138506889343,-0.13423247635364532,0,43,0.1477663218975067,0,7,c16286f63961237b
baseline,42,2845,1,0.031451571732759476,0.031451571732759476,0.8266499042510986,0.0,294,0.04080156236886978,0.11557148396968842,0.15079592168331146,0.15132436156272888,0.19495905935764313,-0.16350749135017395,0,0,0.0,0,7,c16286f63961237b
baseline,42,9537,1,0.058865565806627274,0.058865565806627274,0.9222345352172852,0.0,298,0.042771756649017334,0.11408207565546036,0.23158173263072968,0.20663388073444366,0.31583622097969055,-0.2569706439971924,0,0,0.0,0,7,c16286f63961237b
